Geo Point,Geo Shape,Asset Number,Site Name,Site Purpose
"53.6507967, -1.7731759","{""coordinates"": [[-1.7731759, 53.6507967]], ""type"": ""MultiPoint""}",SITE-00271417,ST ANDREWS ROAD 23,PRIMARY SITE
"53.3381087, -0.1606226","{""coordinates"": [[-0.1606226, 53.3381087]], ""type"": ""MultiPoint""}",SITE-00272533,BELMONT COVERT 54,PRIMARY SITE
"53.3909283, -1.427062","{""coordinates"": [[-1.427062, 53.3909283]], ""type"": ""MultiPoint""}",SITE-00266874,ATTERCLIFFE 1365,BULK SUPPLY POINT
"55.2300471, -1.6467183","{""coordinates"": [[-1.6467183, 55.2300471]], ""type"": ""MultiPoint""}",SITE-00233338,STOBSWOOD COAL,PRIMARY SITE
"53.827962, -1.5819781","{""coordinates"": [[-1.5819781, 53.827962]], ""type"": ""MultiPoint""}",SITE-00271711,MOOR ROAD 357,PRIMARY SITE
"53.7782829, -1.4943005","{""coordinates"": [[-1.4943005, 53.7782829]], ""type"": ""MultiPoint""}",SITE-00291964,SKELTON GRANGE A 7772,GRID SUPPLY POINT
"53.7952215, -1.5532371","{""coordinates"": [[-1.5532371, 53.7952215]], ""type"": ""MultiPoint""}",SITE-00266549,WHITEHALL ROAD 2/3 49080,PRIMARY SITE
"53.4218125, -1.3714442","{""coordinates"": [[-1.3714442, 53.4218125]], ""type"": ""MultiPoint""}",SITE-00308222,TEMPLEBOROUGH BIOMASS 55990,PRIMARY SITE
"55.0118241, -2.1641794","{""coordinates"": [[-2.1641794, 55.0118241]], ""type"": ""MultiPoint""}",SITE-00238109,FOURSTONES,PRIMARY SITE
"53.7447211, -0.2319352","{""coordinates"": [[-0.2319352, 53.7447211]], ""type"": ""MultiPoint""}",SITE-00308321,HULL RESERVE POWER 57923,PRIMARY SITE
"54.7419269, -2.0800348","{""coordinates"": [[-2.0800348, 54.7419269]], ""type"": ""MultiPoint""}",SITE-00230139,EASTGATE CEMENT,PRIMARY SITE
"55.1853292, -2.4576305","{""coordinates"": [[-2.4576305, 55.1853292]], ""type"": ""MultiPoint""}",SITE-00236740,KIELDER HYDRO,PRIMARY SITE
"53.902639, -1.4240529","{""coordinates"": [[-1.4240529, 53.902639]], ""type"": ""MultiPoint""}",SITE-00266172,LEEDS ROAD 4771,PRIMARY SITE
"53.5714786, -0.6682407","{""coordinates"": [[-0.6682407, 53.5714786]], ""type"": ""MultiPoint""}",SITE-00268150,BRIDGES ROAD 28,PRIMARY SITE
"53.5020408, -1.1238111","{""coordinates"": [[-1.1238111, 53.5020408]], ""type"": ""MultiPoint""}",SITE-00310082,BALBY GENERATION 58901,PRIMARY SITE
"53.6540629, -1.7499789","{""coordinates"": [[-1.7499789, 53.6540629]], ""type"": ""MultiPoint""}",SITE-00272224,DALTON 3,PRIMARY SITE
"53.8210209, -1.6640733","{""coordinates"": [[-1.6640733, 53.8210209]], ""type"": ""MultiPoint""}",SITE-00270740,RODLEY 1525,BULK SUPPLY POINT
"53.4364394, -1.3560912","{""coordinates"": [[-1.3560912, 53.4364394]], ""type"": ""MultiPoint""}",SITE-00270928,RAWMARSH ROAD 1/2 22941,BULK SUPPLY POINT
"53.501975, -1.377483","{""coordinates"": [[-1.377483, 53.501975]], ""type"": ""MultiPoint""}",SITE-00291963,WEST MELTON 132KV 1548,GRID SUPPLY POINT
"54.1448918, -1.2358125","{""coordinates"": [[-1.2358125, 54.1448918]], ""type"": ""MultiPoint""}",SITE-00309253,BOSCAR GRANGE GENERATION SW,PRIMARY SITE
"55.0995719, -1.618868","{""coordinates"": [[-1.618868, 55.0995719]], ""type"": ""MultiPoint""}",SITE-00309252,CRAMLINGTON BIOMASS,PRIMARY SITE
"53.5511306, -1.4404709","{""coordinates"": [[-1.4404709, 53.5511306]], ""type"": ""MultiPoint""}",SITE-00273316,TANK ROW 33KV 47634,EHV PM SITE
"53.7221543, -1.2782315","{""coordinates"": [[-1.2782315, 53.7221543]], ""type"": ""MultiPoint""}",SITE-00291754,FERRYBRIDGE B GSP 7774,GRID SUPPLY POINT
"54.0473784, -0.2363492","{""coordinates"": [[-0.2363492, 54.0473784]], ""type"": ""MultiPoint""}",SITE-00266187,FRAISTHORPE WINDFARM 55537,PRIMARY SITE
"53.8280074, -1.6283454","{""coordinates"": [[-1.6283454, 53.8280074]], ""type"": ""MultiPoint""}",SITE-00266912,ABBEY ROAD 3983,PRIMARY SITE
"53.3696203, -1.1267984","{""coordinates"": [[-1.1267984, 53.3696203]], ""type"": ""MultiPoint""}",SITE-00268247,COSTHORPE 66/11KV 5771,PRIMARY SITE
"54.011096, -1.6936925","{""coordinates"": [[-1.6936925, 54.011096]], ""type"": ""MultiPoint""}",SITE-00234093,NESSFIELD,PRIMARY SITE
"55.128446, -1.5152775","{""coordinates"": [[-1.5152775, 55.128446]], ""type"": ""MultiPoint""}",SITE-00233258,MADDISON STREET,PRIMARY SITE
"54.2962368, -1.5233992","{""coordinates"": [[-1.5233992, 54.2962368]], ""type"": ""MultiPoint""}",SITE-00233062,LEEMING RAF,PRIMARY SITE
"54.0888324, -1.4080599","{""coordinates"": [[-1.4080599, 54.0888324]], ""type"": ""MultiPoint""}",SITE-00237908,ROECLIFFE INDUSTRIAL,PRIMARY SITE
"54.3267819, -1.4529236","{""coordinates"": [[-1.4529236, 54.3267819]], ""type"": ""MultiPoint""}",SITE-00238105,ROMANBY,PRIMARY SITE
"54.001042, -1.5546699","{""coordinates"": [[-1.5546699, 54.001042]], ""type"": ""MultiPoint""}",SITE-00234087,HARROGATE,BULK SUPPLY POINT
"55.025835, -1.4785606","{""coordinates"": [[-1.4785606, 55.025835]], ""type"": ""MultiPoint""}",SITE-00228689,CHIRTON GRANGE,BULK SUPPLY POINT
"55.1998678, -1.5325652","{""coordinates"": [[-1.5325652, 55.1998678]], ""type"": ""MultiPoint""}",SITE-00233801,ALCAN,PRIMARY SITE
"55.1327559, -1.5909188","{""coordinates"": [[-1.5909188, 55.1327559]], ""type"": ""MultiPoint""}",SITE-00233803,BEDLINGTON SW,PRIMARY SITE
"55.2056645, -1.5346814","{""coordinates"": [[-1.5346814, 55.2056645]], ""type"": ""MultiPoint""}",SITE-00233257,LYNEMOUTH,PRIMARY SITE
"55.0427363, -1.4702387","{""coordinates"": [[-1.4702387, 55.0427363]], ""type"": ""MultiPoint""}",SITE-00228775,MONKSEATON,PRIMARY SITE
"55.0349554, -1.7100639","{""coordinates"": [[-1.7100639, 55.0349554]], ""type"": ""MultiPoint""}",SITE-00237905,NEWCASTLE AIRPORT,PRIMARY SITE
"55.0656037, -1.5351608","{""coordinates"": [[-1.5351608, 55.0656037]], ""type"": ""MultiPoint""}",SITE-00238221,SEGHILL,PRIMARY SITE
"55.1991212, -1.5660706","{""coordinates"": [[-1.5660706, 55.1991212]], ""type"": ""MultiPoint""}",SITE-00238601,LYNEMOUTH WINDFARM,PRIMARY SITE
"54.5886866, -1.2645527","{""coordinates"": [[-1.2645527, 54.5886866]], ""type"": ""MultiPoint""}",SITE-00244017,NORTH TEES,BULK SUPPLY POINT
"53.7906872, -1.5299516","{""coordinates"": [[-1.5299516, 53.7906872]], ""type"": ""MultiPoint""}",SITE-00266543,ARMOURIES DRIVE 47105,PRIMARY SITE
"54.5423666, -1.2106428","{""coordinates"": [[-1.2106428, 54.5423666]], ""type"": ""MultiPoint""}",SITE-00232299,PRISSICK,PRIMARY SITE
"54.6002714, -1.0621714","{""coordinates"": [[-1.0621714, 54.6002714]], ""type"": ""MultiPoint""}",SITE-00232300,REDCAR,PRIMARY SITE
"54.6279252, -1.2085555","{""coordinates"": [[-1.2085555, 54.6279252]], ""type"": ""MultiPoint""}",SITE-00229036,GREATHAM,PRIMARY SITE
"54.6071223, -1.2015893","{""coordinates"": [[-1.2015893, 54.6071223]], ""type"": ""MultiPoint""}",SITE-00229039,SEAL SANDS,BULK SUPPLY POINT
"54.6651842, -1.2127329","{""coordinates"": [[-1.2127329, 54.6651842]], ""type"": ""MultiPoint""}",SITE-00229042,BRENDA TRADING,PRIMARY SITE
"54.5477491, -1.2464009","{""coordinates"": [[-1.2464009, 54.5477491]], ""type"": ""MultiPoint""}",SITE-00232013,ACKLAM,PRIMARY SITE
"54.5425008, -1.056942","{""coordinates"": [[-1.056942, 54.5425008]], ""type"": ""MultiPoint""}",SITE-00232017,GUISBOROUGH,PRIMARY SITE
"54.5718582, -1.1889496","{""coordinates"": [[-1.1889496, 54.5718582]], ""type"": ""MultiPoint""}",SITE-00232302,SPENCERBECK,PRIMARY SITE
"54.5895582, -1.2677546","{""coordinates"": [[-1.2677546, 54.5895582]], ""type"": ""MultiPoint""}",SITE-00229323,NEW ROAD,PRIMARY SITE
"54.6160091, -1.1761413","{""coordinates"": [[-1.1761413, 54.6160091]], ""type"": ""MultiPoint""}",SITE-00229402,PHILLIPS PETROLEUM,PRIMARY SITE
"53.8800435, -1.2990536","{""coordinates"": [[-1.2990536, 53.8800435]], ""type"": ""MultiPoint""}",SITE-00275469,RUDGATE 33KV LSI 4125,EHV PM SITE
"53.7973857, -1.7484476","{""coordinates"": [[-1.7484476, 53.7973857]], ""type"": ""MultiPoint""}",SITE-00267107,BALME STREET 663,PRIMARY SITE
"54.7066602, -1.5571019","{""coordinates"": [[-1.5571019, 54.7066602]], ""type"": ""MultiPoint""}",SITE-00229452,SPENNYMOOR,BULK SUPPLY POINT
"54.9780522, -1.7244406","{""coordinates"": [[-1.7244406, 54.9780522]], ""type"": ""MultiPoint""}",SITE-00233799,STELLA NORTH,BULK SUPPLY POINT
"54.5950897, -1.1931364","{""coordinates"": [[-1.1931364, 54.5950897]], ""type"": ""MultiPoint""}",SITE-00306297,NORTH BANK AIR SW,PRIMARY SITE
"53.7318605, -1.7217382","{""coordinates"": [[-1.7217382, 53.7318605]], ""type"": ""MultiPoint""}",SITE-00272526,SNELSINS LANE 20,PRIMARY SITE
"53.7894372, -0.329968","{""coordinates"": [[-0.329968, 53.7894372]], ""type"": ""MultiPoint""}",SITE-00266179,TIVERTON ROAD 5630,PRIMARY SITE
"54.5994898, -1.1343437","{""coordinates"": [[-1.1343437, 54.5994898]], ""type"": ""MultiPoint""}",SITE-00232018,LACKENBY OXYGEN EAST,PRIMARY SITE
"53.7260679, 0.0292388","{""coordinates"": [[0.0292388, 53.7260679]], ""type"": ""MultiPoint""}",SITE-00267100,WITHERNSEA 5632,PRIMARY SITE
"53.541807, -0.5046833","{""coordinates"": [[-0.5046833, 53.541807]], ""type"": ""MultiPoint""}",SITE-00291752,SCAWBY BROOK 2,GRID SUPPLY POINT
"54.9213389, -1.4157193","{""coordinates"": [[-1.4157193, 54.9213389]], ""type"": ""MultiPoint""}",SITE-00241162,WEST SOUTHWICK,PRIMARY SITE
"54.9748592, -1.6241019","{""coordinates"": [[-1.6241019, 54.9748592]], ""type"": ""MultiPoint""}",SITE-00228779,BARRACK ROAD,BULK SUPPLY POINT
"53.7743409, -1.0431885","{""coordinates"": [[-1.0431885, 53.7743409]], ""type"": ""MultiPoint""}",SITE-00318236,SELBY STOR 56409,PRIMARY SITE
"53.5710764, -1.2216079","{""coordinates"": [[-1.2216079, 53.5710764]], ""type"": ""MultiPoint""}",SITE-00266075,HAMPOLE WINDFARM 53941,PRIMARY SITE
"53.856862, -1.0832168","{""coordinates"": [[-1.0832168, 53.856862]], ""type"": ""MultiPoint""}",SITE-00266542,STILLINGFLEET 10308,PRIMARY SITE
"53.4851991, -1.258961","{""coordinates"": [[-1.258961, 53.4851991]], ""type"": ""MultiPoint""}",SITE-00308210,ELAND ROAD 132KV 56282,GRID SUPPLY POINT
"53.7756154, -0.2369112","{""coordinates"": [[-0.2369112, 53.7756154]], ""type"": ""MultiPoint""}",SITE-00310771,BILTON GENERATION 58960,PRIMARY SITE
"53.641153, -1.8248051","{""coordinates"": [[-1.8248051, 53.641153]], ""type"": ""MultiPoint""}",SITE-00272326,DOWKER STREET 5,PRIMARY SITE
"53.7229515, -1.2843583","{""coordinates"": [[-1.2843583, 53.7229515]], ""type"": ""MultiPoint""}",SITE-00308225,FERRYBRIDGE MULTIFUEL  57533,GRID SUPPLY POINT
"53.7513861, -1.5454697","{""coordinates"": [[-1.5454697, 53.7513861]], ""type"": ""MultiPoint""}",SITE-00271411,MIDDLETON TOWN STREET 3000,PRIMARY SITE
"53.657484, -0.8719654","{""coordinates"": [[-0.8719654, 53.657484]], ""type"": ""MultiPoint""}",SITE-00272439,GOOLE FIELDS WINDFARM 52745,PRIMARY SITE
"53.5175868, -1.1302972","{""coordinates"": [[-1.1302972, 53.5175868]], ""type"": ""MultiPoint""}",SITE-00272403,JARRATT STREET 45052,PRIMARY SITE
"53.8914789, -1.719604","{""coordinates"": [[-1.719604, 53.8914789]], ""type"": ""MultiPoint""}",SITE-00266654,CHEVIN END 5188,PRIMARY SITE
"54.7619396, -1.8105606","{""coordinates"": [[-1.8105606, 54.7619396]], ""type"": ""MultiPoint""}",SITE-00243709,STONEFOOT WINDFARM,PRIMARY SITE
"54.9735996, -1.4640934","{""coordinates"": [[-1.4640934, 54.9735996]], ""type"": ""MultiPoint""}",SITE-00233921,SIMONSIDE,PRIMARY SITE
"54.0105794, -1.1988137","{""coordinates"": [[-1.1988137, 54.0105794]], ""type"": ""MultiPoint""}",SITE-00231677,MOOR MONKTON PUMPS,PRIMARY SITE
"53.3005515, -1.4646015","{""coordinates"": [[-1.4646015, 53.3005515]], ""type"": ""MultiPoint""}",SITE-00266958,DRONFIELD 2939,PRIMARY SITE
"53.4932994, -1.2639922","{""coordinates"": [[-1.2639922, 53.4932994]], ""type"": ""MultiPoint""}",SITE-00272408,MEXBOROUGH 4743,PRIMARY SITE
"53.4849074, -1.1829966","{""coordinates"": [[-1.1829966, 53.4849074]], ""type"": ""MultiPoint""}",SITE-00267022,EDLINGTON 45048,PRIMARY SITE
"54.0312794, -1.4880908","{""coordinates"": [[-1.4880908, 54.0312794]], ""type"": ""MultiPoint""}",SITE-00238634,KNARESBOROUGH,PRIMARY SITE
"54.9816515, -1.6174605","{""coordinates"": [[-1.6174605, 54.9816515]], ""type"": ""MultiPoint""}",SITE-00229088,UNIVERSITY,PRIMARY SITE
"54.864361, -1.590243","{""coordinates"": [[-1.590243, 54.864361]], ""type"": ""MultiPoint""}",SITE-00232587,HIGH FLATTS,PRIMARY SITE
"54.9391872, -1.8108768","{""coordinates"": [[-1.8108768, 54.9391872]], ""type"": ""MultiPoint""}",SITE-00232659,COALBURNS,BULK SUPPLY POINT
"55.0096821, -1.6051772","{""coordinates"": [[-1.6051772, 55.0096821]], ""type"": ""MultiPoint""}",SITE-00229078,GOSFORTH,BULK SUPPLY POINT
"54.9794032, -1.6081344","{""coordinates"": [[-1.6081344, 54.9794032]], ""type"": ""MultiPoint""}",SITE-00229081,EDUCATIONAL PRECINCT,PRIMARY SITE
"54.9379838, -1.4522565","{""coordinates"": [[-1.4522565, 54.9379838]], ""type"": ""MultiPoint""}",SITE-00232700,BOLDON DOWNHILL,PRIMARY SITE
"54.5970191, -1.139053","{""coordinates"": [[-1.139053, 54.5970191]], ""type"": ""MultiPoint""}",SITE-00233805,LACKENBY OXYGEN SW,PRIMARY SITE
"54.9743587, -1.7325223","{""coordinates"": [[-1.7325223, 54.9743587]], ""type"": ""MultiPoint""}",SITE-00236076,STELLA SOUTH,BULK SUPPLY POINT
"54.962539, -1.7267777","{""coordinates"": [[-1.7267777, 54.962539]], ""type"": ""MultiPoint""}",SITE-00233198,BLAYDON BURN,PRIMARY SITE
"54.9304142, -1.5925252","{""coordinates"": [[-1.5925252, 54.9304142]], ""type"": ""MultiPoint""}",SITE-00233201,HARLOW GREEN,PRIMARY SITE
"54.9624573, -1.4196965","{""coordinates"": [[-1.4196965, 54.9624573]], ""type"": ""MultiPoint""}",SITE-00233922,TEMPLE PARK,PRIMARY SITE
"54.9094587, -1.4236993","{""coordinates"": [[-1.4236993, 54.9094587]], ""type"": ""MultiPoint""}",SITE-00241158,PALLION TRADING,PRIMARY SITE
"54.9114184, -1.394061","{""coordinates"": [[-1.394061, 54.9114184]], ""type"": ""MultiPoint""}",SITE-00241159,SUNDERLAND,PRIMARY SITE
"53.7990596, -1.5462552","{""coordinates"": [[-1.5462552, 53.7990596]], ""type"": ""MultiPoint""}",SITE-00266889,UPPER BASINGHALL STREET 4377,PRIMARY SITE
"53.7537387, -0.8445105","{""coordinates"": [[-0.8445105, 53.7537387]], ""type"": ""MultiPoint""}",SITE-00266171,THORPE ROAD 7424,PRIMARY SITE
"53.4591411, -1.0037995","{""coordinates"": [[-1.0037995, 53.4591411]], ""type"": ""MultiPoint""}",SITE-00266952,AUSTERFIELD 66/33/11KV 925,PRIMARY SITE
"53.7965856, -1.4668727","{""coordinates"": [[-1.4668727, 53.7965856]], ""type"": ""MultiPoint""}",SITE-00266949,SELBY ROAD 3293,PRIMARY SITE
"53.7956451, -1.571351","{""coordinates"": [[-1.571351, 53.7956451]], ""type"": ""MultiPoint""}",SITE-00266953,HEDLEY CHASE 3910,PRIMARY SITE
"53.8258877, -1.7343377","{""coordinates"": [[-1.7343377, 53.8258877]], ""type"": ""MultiPoint""}",SITE-00266657,IDLE 573,PRIMARY SITE
"53.3395755, -1.4793539","{""coordinates"": [[-1.4793539, 53.3395755]], ""type"": ""MultiPoint""}",SITE-00266652,WOODSEATS 33/11KV 273,PRIMARY SITE
"53.4188672, -1.4024621","{""coordinates"": [[-1.4024621, 53.4188672]], ""type"": ""MultiPoint""}",SITE-00266664,BLACKBURN MEADOWS B 5578,BULK SUPPLY POINT
"53.5958387, -1.8380578","{""coordinates"": [[-1.8380578, 53.5958387]], ""type"": ""MultiPoint""}",SITE-00266667,MELTHAM 15,PRIMARY SITE
"53.4112564, -1.4955928","{""coordinates"": [[-1.4955928, 53.4112564]], ""type"": ""MultiPoint""}",SITE-00266674,RAWSON SPRING ROAD 4569,PRIMARY SITE
"53.3456716, -1.4951488","{""coordinates"": [[-1.4951488, 53.3456716]], ""type"": ""MultiPoint""}",SITE-00266675,MILLHOUSES 3180,PRIMARY SITE
"53.7167256, -1.2873802","{""coordinates"": [[-1.2873802, 53.7167256]], ""type"": ""MultiPoint""}",SITE-00266079,FRYSTON LANE 54149,PRIMARY SITE
"53.7870972, -1.5325608","{""coordinates"": [[-1.5325608, 53.7870972]], ""type"": ""MultiPoint""}",SITE-00268243,BROOKFIELD STREET 3779,PRIMARY SITE
"53.9433957, -1.0885422","{""coordinates"": [[-1.0885422, 53.9433957]], ""type"": ""MultiPoint""}",SITE-00229166,CAMPLESHON ROAD,PRIMARY SITE
"53.9792384, -1.0556801","{""coordinates"": [[-1.0556801, 53.9792384]], ""type"": ""MultiPoint""}",SITE-00229169,HUNTINGTON NEW LANE,PRIMARY SITE
"54.7654659, -1.3554749","{""coordinates"": [[-1.3554749, 54.7654659]], ""type"": ""MultiPoint""}",SITE-00232590,SHOTTON,PRIMARY SITE
"54.2524138, -0.934779","{""coordinates"": [[-0.934779, 54.2524138]], ""type"": ""MultiPoint""}",SITE-00232835,KIRBYMOORSIDE,PRIMARY SITE
"53.9555881, -1.0841024","{""coordinates"": [[-1.0841024, 53.9555881]], ""type"": ""MultiPoint""}",SITE-00232839,SKELDERGATE,PRIMARY SITE
"53.7473117, -0.2849465","{""coordinates"": [[-0.2849465, 53.7473117]], ""type"": ""MultiPoint""}",SITE-00318429,KING GEORGE DOCK 56014,PRIMARY SITE
"53.7489915, -0.2549764","{""coordinates"": [[-0.2549764, 53.7489915]], ""type"": ""MultiPoint""}",SITE-00267169,HULL EAST 4061,BULK SUPPLY POINT
"53.6697491, -1.6430222","{""coordinates"": [[-1.6430222, 53.6697491]], ""type"": ""MultiPoint""}",SITE-00273750,KING EDWARD STREET 8306,EHV PM SITE
"53.9089435, -1.9236713","{""coordinates"": [[-1.9236713, 53.9089435]], ""type"": ""MultiPoint""}",SITE-00268252,SILSDEN 6130,BULK SUPPLY POINT
"53.5820067, -0.1076329","{""coordinates"": [[-0.1076329, 53.5820067]], ""type"": ""MultiPoint""}",SITE-00266365,BTP 13,PRIMARY SITE
"53.6685467, 0.0960069","{""coordinates"": [[0.0960069, 53.6685467]], ""type"": ""MultiPoint""}",SITE-00268237,OUT NEWTON WINDFARM 43844,PRIMARY SITE
"53.708937, -1.9247732","{""coordinates"": [[-1.9247732, 53.708937]], ""type"": ""MultiPoint""}",SITE-00266373,SOWERBY BRIDGE B21,PRIMARY SITE
"53.348912, -1.4710318","{""coordinates"": [[-1.4710318, 53.348912]], ""type"": ""MultiPoint""}",SITE-00290873,NORTON LEES GSP 2320,GRID SUPPLY POINT
"53.6660779, -1.5096766","{""coordinates"": [[-1.5096766, 53.6660779]], ""type"": ""MultiPoint""}",SITE-00268250,WAKEFIELD MONCKTON ROAD 6039,BULK SUPPLY POINT
"53.6553243, -1.8282986","{""coordinates"": [[-1.8282986, 53.6553243]], ""type"": ""MultiPoint""}",SITE-00270923,LINDLEY 13,BULK SUPPLY POINT
"53.7659108, -0.3438138","{""coordinates"": [[-0.3438138, 53.7659108]], ""type"": ""MultiPoint""}",SITE-00270925,SCULCOATES B 8460,BULK SUPPLY POINT
"53.7927022, -1.2202599","{""coordinates"": [[-1.2202599, 53.7927022]], ""type"": ""MultiPoint""}",SITE-00266377,SHERBURN 43357,PRIMARY SITE
"53.7288759, -0.3961732","{""coordinates"": [[-0.3961732, 53.7288759]], ""type"": ""MultiPoint""}",SITE-00266383,HESSLE ROAD 5621,PRIMARY SITE
"53.3230934, 0.1129725","{""coordinates"": [[0.1129725, 53.3230934]], ""type"": ""MultiPoint""}",SITE-00273466,SOUTH RESTON 55,PRIMARY SITE
"53.7993623, -1.2345479","{""coordinates"": [[-1.2345479, 53.7993623]], ""type"": ""MultiPoint""}",SITE-00274187,MOOR LANE 33 KV LSI 4686,EHV PM SITE
"53.6246213, -0.6583921","{""coordinates"": [[-0.6583921, 53.6246213]], ""type"": ""MultiPoint""}",SITE-00266730,BAGMOOR WIND FARM 49661,PRIMARY SITE
"53.8029533, -0.3325193","{""coordinates"": [[-0.3325193, 53.8029533]], ""type"": ""MultiPoint""}",SITE-00271705,WAWNE ROAD 6006,PRIMARY SITE
"54.0017758, -0.2784101","{""coordinates"": [[-0.2784101, 54.0017758]], ""type"": ""MultiPoint""}",SITE-00266550,LISSETT WIND FARM 49426,PRIMARY SITE
"53.7505215, -1.6351994","{""coordinates"": [[-1.6351994, 53.7505215]], ""type"": ""MultiPoint""}",SITE-00268137,GILDERSOME BRADFORD ROAD 3414,PRIMARY SITE
"53.8458956, -0.6038152","{""coordinates"": [[-0.6038152, 53.8458956]], ""type"": ""MultiPoint""}",SITE-00266739,BEVERLEY LANE 51737,PRIMARY SITE
"53.6944059, -1.8227546","{""coordinates"": [[-1.8227546, 53.6944059]], ""type"": ""MultiPoint""}",SITE-00291960,ELLAND GRID SUPPLY 14,GRID SUPPLY POINT
"53.8033455, -1.5576968","{""coordinates"": [[-1.5576968, 53.8033455]], ""type"": ""MultiPoint""}",SITE-00308219,UNIVERSITY CLARENDON WAY 56647,PRIMARY SITE
"53.4120752, -1.3871925","{""coordinates"": [[-1.3871925, 53.4120752]], ""type"": ""MultiPoint""}",SITE-00291962,TEMPLEBOROUGH GSP 2568,GRID SUPPLY POINT
"53.8015515, -0.7961878","{""coordinates"": [[-0.7961878, 53.8015515]], ""type"": ""MultiPoint""}",SITE-00273389,HOLME ON SPALDING MOOR 2899,PRIMARY SITE
"53.8027217, -1.5287193","{""coordinates"": [[-1.5287193, 53.8027217]], ""type"": ""MultiPoint""}",SITE-00267103,BURMANTOFTS 2267,PRIMARY SITE
"54.0735752, -0.2718548","{""coordinates"": [[-0.2718548, 54.0735752]], ""type"": ""MultiPoint""}",SITE-00278018,HAISTHORPE FIELDS 55652,EHV PM SITE
"53.7201867, -2.1625792","{""coordinates"": [[-2.1625792, 53.7201867]], ""type"": ""MultiPoint""}",SITE-00266076,TODMORDEN MOOR WINDFARM 53047,PRIMARY SITE
"53.7879156, -1.0303937","{""coordinates"": [[-1.0303937, 53.7879156]], ""type"": ""MultiPoint""}",SITE-00266801,OSGODBY 7443,BULK SUPPLY POINT
"53.7318738, -1.3386907","{""coordinates"": [[-1.3386907, 53.7318738]], ""type"": ""MultiPoint""}",SITE-00266703,SMITH STREET 6065,PRIMARY SITE
"53.5383043, -1.1218878","{""coordinates"": [[-1.1218878, 53.5383043]], ""type"": ""MultiPoint""}",SITE-00273469,ICI FIBRES 45051,PRIMARY SITE
"55.4230091, -1.9132997","{""coordinates"": [[-1.9132997, 55.4230091]], ""type"": ""MultiPoint""}",SITE-00310492,MIDDLESTEADS SW,EHV PM SITE
"53.7648279, -1.4945268","{""coordinates"": [[-1.4945268, 53.7648279]], ""type"": ""MultiPoint""}",SITE-00271320,STOURTON 132/11KV 43954,BULK SUPPLY POINT
"53.7041198, -1.3751391","{""coordinates"": [[-1.3751391, 53.7041198]], ""type"": ""MultiPoint""}",SITE-00266729,PREMIER WAY NORTH 2 49292,PRIMARY SITE
"55.0274174, -2.6083381","{""coordinates"": [[-2.6083381, 55.0274174]], ""type"": ""MultiPoint""}",SITE-00233926,SPADEADAM,BULK SUPPLY POINT
"54.6330792, -1.3120959","{""coordinates"": [[-1.3120959, 54.6330792]], ""type"": ""MultiPoint""}",SITE-00238114,WYNYARD DATA,PRIMARY SITE
"54.5519844, -1.3184963","{""coordinates"": [[-1.3184963, 54.5519844]], ""type"": ""MultiPoint""}",SITE-00243882,BOWESFIELD,PRIMARY SITE
"54.5192794, -1.518146","{""coordinates"": [[-1.518146, 54.5192794]], ""type"": ""MultiPoint""}",SITE-00229535,DARLINGTON EAST,PRIMARY SITE
"54.553712, -1.9162565","{""coordinates"": [[-1.9162565, 54.553712]], ""type"": ""MultiPoint""}",SITE-00229539,HARMIRE BRIDGE,PRIMARY SITE
"54.5913803, -1.3636432","{""coordinates"": [[-1.3636432, 54.5913803]], ""type"": ""MultiPoint""}",SITE-00239105,NORTON,BULK SUPPLY POINT
"54.7570855, -1.3716491","{""coordinates"": [[-1.3716491, 54.7570855]], ""type"": ""MultiPoint""}",SITE-00235707,PETERLEE WEST,PRIMARY SITE
"54.4129763, -1.7020957","{""coordinates"": [[-1.7020957, 54.4129763]], ""type"": ""MultiPoint""}",SITE-00243525,SKEEBY,PRIMARY SITE
"54.5243114, -1.3785458","{""coordinates"": [[-1.3785458, 54.5243114]], ""type"": ""MultiPoint""}",SITE-00228633,URLAY NOOK,PRIMARY SITE
"54.4027364, -1.4830379","{""coordinates"": [[-1.4830379, 54.4027364]], ""type"": ""MultiPoint""}",SITE-00233058,HUTTON BONVILLE RAIL,PRIMARY SITE
"54.4113193, -1.7209975","{""coordinates"": [[-1.7209975, 54.4113193]], ""type"": ""MultiPoint""}",SITE-00233064,RICHMOND,PRIMARY SITE
"54.6947568, -1.4354628","{""coordinates"": [[-1.4354628, 54.6947568]], ""type"": ""MultiPoint""}",SITE-00230140,FISHBURN,PRIMARY SITE
"53.4488054, -1.3227911","{""coordinates"": [[-1.3227911, 53.4488054]], ""type"": ""MultiPoint""}",SITE-00269252,ALDWARKE 33KV 99995,PRIMARY SITE
"53.6432986, -1.7877551","{""coordinates"": [[-1.7877551, 53.6432986]], ""type"": ""MultiPoint""}",SITE-00273287,GROVE STREET 8,PRIMARY SITE
"53.8173677, -1.5144404","{""coordinates"": [[-1.5144404, 53.8173677]], ""type"": ""MultiPoint""}",SITE-00273281,HILLCREST 556,PRIMARY SITE
"53.3638403, -0.7276002","{""coordinates"": [[-0.7276002, 53.3638403]], ""type"": ""MultiPoint""}",SITE-00272763,KNAITH UPTON ROAD 60,EHV PM SITE
