Geo Point,Geo Shape,Asset Number,Site Name,Site Purpose
"54.4305356, -1.5050465","{""coordinates"": [[-1.5050465, 54.4305356]], ""type"": ""MultiPoint""}",SITE-00233061,COWTON,PRIMARY SITE
"54.8062606, -1.401621","{""coordinates"": [[-1.401621, 54.8062606]], ""type"": ""MultiPoint""}",SITE-00233804,HAWTHORN PIT GRID,BULK SUPPLY POINT
"54.7810833, -1.576591","{""coordinates"": [[-1.576591, 54.7810833]], ""type"": ""MultiPoint""}",SITE-00230138,DURHAM EAST,PRIMARY SITE
"53.7827878, -1.7531826","{""coordinates"": [[-1.7531826, 53.7827878]], ""type"": ""MultiPoint""}",SITE-00266951,SPRING MILL STREET 574,PRIMARY SITE
"53.7260957, -1.8578876","{""coordinates"": [[-1.8578876, 53.7260957]], ""type"": ""MultiPoint""}",SITE-00270926,HALIFAX 132/33KV 9,BULK SUPPLY POINT
"53.7905707, -1.6155639","{""coordinates"": [[-1.6155639, 53.7905707]], ""type"": ""MultiPoint""}",SITE-00266642,FARNLEY CRESCENT 4518,PRIMARY SITE
"53.7892119, -1.755122","{""coordinates"": [[-1.755122, 53.7892119]], ""type"": ""MultiPoint""}",SITE-00266645,MANCHESTER ROAD 1128,PRIMARY SITE
"53.5819722, -1.4405253","{""coordinates"": [[-1.4405253, 53.5819722]], ""type"": ""MultiPoint""}",SITE-00273293,FISH DAM LANE 33/11 KV 22496,PRIMARY SITE
"53.6708795, -0.351317","{""coordinates"": [[-0.351317, 53.6708795]], ""type"": ""MultiPoint""}",SITE-00273087,GOXHILL ROAD 42011,EHV PM SITE
"53.7329548, -1.5593068","{""coordinates"": [[-1.5593068, 53.7329548]], ""type"": ""MultiPoint""}",SITE-00271615,TINGLEY NO 1 33KV LSI 4780,EHV PM SITE
"53.6223006, -0.5747989","{""coordinates"": [[-0.5747989, 53.6223006]], ""type"": ""MultiPoint""}",SITE-00272474,RISBY ROAD APPLEBY 46827,EHV PM SITE
"53.8471132, -1.5087172","{""coordinates"": [[-1.5087172, 53.8471132]], ""type"": ""MultiPoint""}",SITE-00272431,ROMAN AVENUE 3376,PRIMARY SITE
"54.9009205, -1.5847483","{""coordinates"": [[-1.5847483, 54.9009205]], ""type"": ""MultiPoint""}",SITE-00233197,BIRTLEY GROVE,PRIMARY SITE
"54.965591, -1.6145124","{""coordinates"": [[-1.6145124, 54.965591]], ""type"": ""MultiPoint""}",SITE-00233800,CLOSE,PRIMARY SITE
"54.9592188, -1.529975","{""coordinates"": [[-1.529975, 54.9592188]], ""type"": ""MultiPoint""}",SITE-00233923,WARDLEY,PRIMARY SITE
"53.5215256, -1.6168117","{""coordinates"": [[-1.6168117, 53.5215256]], ""type"": ""MultiPoint""}",SITE-00266740,PENISTONE PRIMARY (NEW) 18,PRIMARY SITE
"53.8529423, -1.8409313","{""coordinates"": [[-1.8409313, 53.8529423]], ""type"": ""MultiPoint""}",SITE-00266699,BINGLEY 496,PRIMARY SITE
"53.3393329, -1.7526166","{""coordinates"": [[-1.7526166, 53.3393329]], ""type"": ""MultiPoint""}",SITE-00266700,HOPE 66/11KV S/S 3062,PRIMARY SITE
"53.5286249, -0.8290086","{""coordinates"": [[-0.8290086, 53.5286249]], ""type"": ""MultiPoint""}",SITE-00266747,EPWORTH PRIMARY 45049,PRIMARY SITE
"53.8654797, -0.3537313","{""coordinates"": [[-0.3537313, 53.8654797]], ""type"": ""MultiPoint""}",SITE-00266658,ROUTH WINDFARM 52299,PRIMARY SITE
"53.8104498, -1.7914598","{""coordinates"": [[-1.7914598, 53.8104498]], ""type"": ""MultiPoint""}",SITE-00268138,TOLLER LANE 1158,PRIMARY SITE
"53.8369871, -0.4171646","{""coordinates"": [[-0.4171646, 53.8369871]], ""type"": ""MultiPoint""}",SITE-00266794,SPARK MILL LANE 5629,PRIMARY SITE
"53.9780251, -0.5149671","{""coordinates"": [[-0.5149671, 53.9780251]], ""type"": ""MultiPoint""}",SITE-00266999,KIRKBURN 6101,PRIMARY SITE
"53.671381, -0.531634","{""coordinates"": [[-0.531634, 53.671381]], ""type"": ""MultiPoint""}",SITE-00267001,SOUTH FERRIBY (NEW) 29,PRIMARY SITE
"53.7596455, -0.3058419","{""coordinates"": [[-0.3058419, 53.7596455]], ""type"": ""MultiPoint""}",SITE-00266672,WESTCOTT STREET 5631,PRIMARY SITE
"53.6828761, -0.9447628","{""coordinates"": [[-0.9447628, 53.6828761]], ""type"": ""MultiPoint""}",SITE-00267102,RAWCLIFFE 1144,PRIMARY SITE
"53.9815146, -0.7918939","{""coordinates"": [[-0.7918939, 53.9815146]], ""type"": ""MultiPoint""}",SITE-00266890,BELTHORPE LANE 10546,PRIMARY SITE
"53.5334229, -1.4167929","{""coordinates"": [[-1.4167929, 53.5334229]], ""type"": ""MultiPoint""}",SITE-00266371,ALDHAM 1592,PRIMARY SITE
"53.4177395, -1.3815677","{""coordinates"": [[-1.3815677, 53.4177395]], ""type"": ""MultiPoint""}",SITE-00266382,TEMPLEBOROUGH 33/11KV 343,PRIMARY SITE
"53.7949569, -1.5530933","{""coordinates"": [[-1.5530933, 53.7949569]], ""type"": ""MultiPoint""}",SITE-00272220,WHITEHALL ROAD 3029,PRIMARY SITE
"54.284225, -0.4010823","{""coordinates"": [[-0.4010823, 54.284225]], ""type"": ""MultiPoint""}",SITE-00233865,NORTH STREET,PRIMARY SITE
"54.2648774, -0.4145252","{""coordinates"": [[-0.4145252, 54.2648774]], ""type"": ""MultiPoint""}",SITE-00233863,SCARBOROUGH GRID,BULK SUPPLY POINT
"54.2310869, -0.7421397","{""coordinates"": [[-0.7421397, 54.2310869]], ""type"": ""MultiPoint""}",SITE-00233867,THORNTON DALE,PRIMARY SITE
"53.7739525, -0.2661057","{""coordinates"": [[-0.2661057, 53.7739525]], ""type"": ""MultiPoint""}",SITE-00266169,HOLDERNESS 1354,PRIMARY SITE
"53.3904656, -0.1227929","{""coordinates"": [[-0.1227929, 53.3904656]], ""type"": ""MultiPoint""}",SITE-00272603,KELSTERN 53,EHV PM SITE
"53.7973123, -1.7683193","{""coordinates"": [[-1.7683193, 53.7973123]], ""type"": ""MultiPoint""}",SITE-00272414,CROWN STREET 560,PRIMARY SITE
"53.9028361, -2.049585","{""coordinates"": [[-2.049585, 53.9028361]], ""type"": ""MultiPoint""}",SITE-00271638,LOTHERSDALE 1692,EHV PM SITE
"53.7295411, -1.0008091","{""coordinates"": [[-1.0008091, 53.7295411]], ""type"": ""MultiPoint""}",SITE-00291965,CAMBLESFORTH 46835,GRID SUPPLY POINT
"53.7180142, -1.5107569","{""coordinates"": [[-1.5107569, 53.7180142]], ""type"": ""MultiPoint""}",SITE-00272314,OUTWOOD 6053,PRIMARY SITE
"53.803268, -1.2307279","{""coordinates"": [[-1.2307279, 53.803268]], ""type"": ""MultiPoint""}",SITE-00270059,FENTON LANE LSI 4952,EHV PM SITE
"53.5705158, -1.3817357","{""coordinates"": [[-1.3817357, 53.5705158]], ""type"": ""MultiPoint""}",SITE-00268238,GRIMETHORPE 66/11KV 22959,PRIMARY SITE
"53.6354978, -1.3706299","{""coordinates"": [[-1.3706299, 53.6354978]], ""type"": ""MultiPoint""}",SITE-00268242,HEMSWORTH 6062,PRIMARY SITE
"53.5627883, -0.0366878","{""coordinates"": [[-0.0366878, 53.5627883]], ""type"": ""MultiPoint""}",SITE-00266696,CONYARD ROAD 9,PRIMARY SITE
"53.6672123, -1.4860619","{""coordinates"": [[-1.4860619, 53.6672123]], ""type"": ""MultiPoint""}",SITE-00267098,WOODCOCK STREET 6056,PRIMARY SITE
"53.7202197, -1.8823649","{""coordinates"": [[-1.8823649, 53.7202197]], ""type"": ""MultiPoint""}",SITE-00272405,HOPWOOD LANE 13,PRIMARY SITE
