circuit_section_id,circuit_id,line_situation,voltage,circuit_section_name_normalized,circuit_name_normalized,candidate_labels,candidate_bases,match_status,appendix_indices,appendix_node_labels,appendix_base_labels,gsp_candidates,resolution_notes
147907058_147907057,142087525.0,OVERHEAD,66000.0,147907058 - 147907057 TEED,HAWTHORN PIT GRID (HERRINGTON BURN TEED) - HERRINGTON BURN TEED,"[""HAWTHORN PIT GRID"", ""HERRINGTON BURN""]","[""HAWTHORN PIT GRID"", ""HERRINGTON BURN""]",matched,[998],"[""HAWTHORN PIT 66KV"", ""HAWTHORN-HERRINGTON-TUNSTALL TEE""]","[""HAWTHORN PIT"", ""HAWTHORN HERRINGTON TUNSTALL TEE"", ""HERRINGTON BURN"", ""HAWTHORN PIT GRID""]","[""Hawthorn Pit Grid""]",Unique base pair match
147907066_147907067,142087529.0,OVERHEAD,66000.0,TEE TO 147907067,HAWTHORN PIT GRID (SHOTTON 1) - SHOTTON TEED,"[""HAWTHORN PIT GRID"", ""SHOTTON""]","[""HAWTHORN PIT GRID"", ""SHOTTON""]",ambiguous,"[999, 1549]",[],"[""HAWTHORN PIT"", ""SHOTTON"", ""HAWTHORN PIT GRID"", ""HAWTHORN STONEY SHOTTON TEE""]","[""Hawthorn Pit Grid""]",Multiple Appendix rows share the same base pair
147907067_142113584,142087529.0,UNDERGROUND,66000.0,TEE TO SHOTTON,HAWTHORN PIT GRID (SHOTTON 1) - SHOTTON TEED,"[""SHOTTON"", ""HAWTHORN PIT GRID""]","[""SHOTTON"", ""HAWTHORN PIT GRID""]",ambiguous,"[999, 1549]",[],"[""HAWTHORN PIT"", ""SHOTTON"", ""HAWTHORN PIT GRID"", ""HAWTHORN STONEY SHOTTON TEE""]","[""Hawthorn Pit Grid""]",Multiple Appendix rows share the same base pair
147907162_147920643,142111041.0,OVERHEAD,66000.0,TEE TO 147920643,SPENNYMOOR (SKERNSIDE NO.2) - SKERNESIDE TEED,"[""SPENNYMOOR"", ""SKERNSIDE NO.2"", ""SKERNESIDE""]","[""SPENNYMOOR"", ""SKERNSIDE NO."", ""SKERNESIDE""]",ambiguous,"[1111, 1659]",[],"[""SKERNSIDE NO."", ""SPENNYMOOR"", ""SPENNYMOOR CHILTON SKERNESIDE TEE1"", ""SKERNESIDE"", ""SPENNYMOOR CHILTON SKERNESIDE TEE2""]","[""Spennymoor GSP""]",Multiple Appendix rows share the same base pair
147907171_142091055,142111048.0,UNDERGROUND,66000.0,TEE TO BELMONT,SPENNYMOOR (BELMONT) - BELMONT TEED,"[""BELMONT"", ""SPENNYMOOR""]","[""BELMONT"", ""SPENNYMOOR""]",matched,[525],"[""SPENNYMOOR 66KV"", ""BELMONT TRANSFORMER 1 66KV""]","[""BELMONT"", ""SPENNYMOOR""]","[""Spennymoor GSP""]",Unique base pair match
147907172_147929624,142111048.0,OVERHEAD,66000.0,TEE TO 147929624,SPENNYMOOR (BELMONT) - BELMONT TEED,"[""SPENNYMOOR"", ""BELMONT""]","[""SPENNYMOOR"", ""BELMONT""]",matched,[525],"[""SPENNYMOOR 66KV"", ""BELMONT TRANSFORMER 1 66KV""]","[""BELMONT"", ""SPENNYMOOR""]","[""Spennymoor GSP""]",Unique base pair match
147907218_142088603,142088756.0,UNDERGROUND,66000.0,TEE TO FARADAY STREET,SPENCERBECK (FARADAY STREET ISOLATOR) - FARADAY STREET TEED,"[""FARADAY STREET"", ""SPENCERBECK""]","[""FARADAY STREET"", ""SPENCERBECK""]",unmatched,[],[],"[""SPENCERBECK"", ""FARADAY STREET""]","[""Blyth 66kV"", ""Bradford West"", ""Creyke Beck"", ""Elland"", ""Ferrybridge B"", ""Jordanthorpe"", ""Keadby"", ""Kirkstall B"", ""Lackenby"", ""Neepsend"", ""Norton"", ""Osbaldwick"", ""Pitsmoor 1/2"", ""Pitsmoor 3/4"", ""Saltend North"", ""Sheffield City"", ""Skelton Grange"", ""South Shields"", ""Stella North"", ""Tynemouth"", ""West Boldon"", ""West Melton / Thorpe Marsh"", ""West Melton Section 3""]",No base-pair match; review suggested GSPs
147907218_161030223,142088756.0,UNDERGROUND,66000.0,TEE TO 161030223,SPENCERBECK (FARADAY STREET ISOLATOR) - FARADAY STREET TEED,"[""SPENCERBECK"", ""FARADAY STREET""]","[""SPENCERBECK"", ""FARADAY STREET""]",unmatched,[],[],"[""SPENCERBECK"", ""FARADAY STREET""]","[""Blyth 66kV"", ""Bradford West"", ""Creyke Beck"", ""Elland"", ""Ferrybridge B"", ""Jordanthorpe"", ""Keadby"", ""Kirkstall B"", ""Lackenby"", ""Neepsend"", ""Norton"", ""Osbaldwick"", ""Pitsmoor 1/2"", ""Pitsmoor 3/4"", ""Saltend North"", ""Sheffield City"", ""Skelton Grange"", ""South Shields"", ""Stella North"", ""Tynemouth"", ""West Boldon"", ""West Melton / Thorpe Marsh"", ""West Melton Section 3""]",No base-pair match; review suggested GSPs
147907248_147907249,142089878.0,OVERHEAD,33000.0,TEE TO 147907249,BOWESFIELD (RUDBY) - RUDBY TEED,"[""BOWESFIELD"", ""RUDBY""]","[""BOWESFIELD"", ""RUDBY""]",matched,[1033],"[""BOWESFIELD 33KV"", ""RUDBY TRANSFORMER 1 33KV""]","[""RUDBY"", ""BOWESFIELD""]","[""Norton""]",Unique base pair match
147907249_147907250,142089878.0,UNDERGROUND,33000.0,TEE TO 147907250,BOWESFIELD (RUDBY) - RUDBY TEED,"[""BOWESFIELD"", ""RUDBY""]","[""BOWESFIELD"", ""RUDBY""]",matched,[1033],"[""BOWESFIELD 33KV"", ""RUDBY TRANSFORMER 1 33KV""]","[""RUDBY"", ""BOWESFIELD""]","[""Norton""]",Unique base pair match
