S/S Group,S/S or Busbar Name Node,Primary Voltage (kV),S/S or Busbar Name Node 2,Secondary Voltage (kV),Vector Group,Positive Sequence Impedance R (% on 100 MVA Base),Positive Sequence Impedance X (% on 100 MVA Base),Zero Sequence Reactance X (% on 100 MVA Base),Minimum Tap %,Maximum Tap %,Transformer Rating (MVA),Reverse Power Capability (MVA),Method of Earthing,Licence Area,Transformer Substation,"Substation Class (Primary, BSP)",Geo Point
BRADFORD WEST,KILLINGHALL ROAD,33.0,Not given for Yorkshire,11.0,Yy0,4.0,76.9,500,-10.0,10.0,24.0,NOT KNOWN,Impedance,Yorkshire,Killinghall Road,Primary,
BRADFORD WEST,KEIGHLEY GT2,132.0,Not given for Yorkshire,11.0,Yd9,3.5,105.3,92.7,-20.0,10.0,30.0,30,Solid,Yorkshire,Keighley,Primary,
BRADFORD WEST,KEIGHLEY GT1,132.0,Not given for Yorkshire,11.0,Yd9,3.5,105.1,92.5,-20.0,10.0,30.0,30,Solid,Yorkshire,Keighley,Primary,
BRADFORD WEST,ILKLEY T2,33.0,Not given for Yorkshire,11.0,Yy0,6.0,66.7,66.7,-15.0,5.0,18.75,18.75,Solid,Yorkshire,Ilkley,Primary,
BRADFORD WEST,HOLMFIELD GT1,132.0,Not given for Yorkshire,33.0,Yd9,0.9,24.7,21.7,-20.0,10.0,90.0,90,Solid,Yorkshire,Holmfield,BSP,
BRADFORD WEST,GIRLINGTON GT2,132.0,Not given for Yorkshire,33.0,Yd9,0.73,24.9,21.9,-20.0,10.0,90.0,90,Solid,Yorkshire,Girlington,BSP,
BRADFORD WEST,FOUR LANE ENDS T2,33.0,Not given for Yorkshire,11.0,Yy0,4.0,100.7,550,-15.0,5.0,23.0,NOT KNOWN,Impedance,Yorkshire,Four Lane Ends,Primary,"54.00753837025782, -1.580218917154957"
BRADFORD WEST,CROWN STREET T2,33.0,Not given for Yorkshire,11.0,Yy0,4.0,97.0,550,-15.0,5.0,23.0,NOT KNOWN,Impedance,Yorkshire,Crown Street,Primary,"54.96978970011391, -1.6413499769844029"
BRADFORD WEST,CROSSHILLS T2,33.0,Not given for Yorkshire,11.0,Yy0,8.0,96.0,96,-15.0,5.0,12.5,NOT KNOWN,Solid,Yorkshire,Crosshills,Primary,
BRADFORD WEST,BOLTON ROAD T1,33.0,Not given for Yorkshire,11.0,Yy0,8.0,93.0,93,-15.0,5.0,12.5,12.5,Solid,Yorkshire,Bolton Road,Primary,
BRADFORD WEST,Bingley 33/11kV T2,33.0,Not given for Yorkshire,11.5,Yy0,4.46,84.52,586.3,-10.0,10.0,24.0,24,Impedance,Yorkshire,Bingley 33/11kV,Primary,
