S/S Group,S/S or Busbar Name Node,Primary Voltage (kV),S/S or Busbar Name Node 2,Secondary Voltage (kV),Vector Group,Positive Sequence Impedance R (% on 100 MVA Base),Positive Sequence Impedance X (% on 100 MVA Base),Zero Sequence Reactance X (% on 100 MVA Base),Minimum Tap %,Maximum Tap %,Transformer Rating (MVA),Reverse Power Capability (MVA),Method of Earthing,Licence Area,Transformer Substation,"Substation Class (Primary, BSP)",Geo Point
KEADBY & GRIMSBY WEST,SCUNTHORPE NORTH GT2,132.0,Not given for Yorkshire,33.0,Yd9,0.84,26.84,24.44,-20.0,10.0,90.0,90,Solid,Yorkshire,Scunthorpe North,BSP,
KEADBY & GRIMSBY WEST,SCARTHO T1,33.0,Not given for Yorkshire,11.0,Yy0,6.0,65.5,65.5,-15.0,5.0,18.75,18.75,Solid,Yorkshire,Scartho,Primary,
KEADBY & GRIMSBY WEST,SANTON GT2,132.0,Not given for Yorkshire,33.0,Yd9,0.7,27.3,23.5,-20.0,10.0,90.0,90,Solid,Yorkshire,Santon,BSP,
KEADBY & GRIMSBY WEST,SANTON GT1,132.0,Not given for Yorkshire,33.0,Yd9,0.7,27.4,23.5,-20.0,10.0,90.0,90,Solid,Yorkshire,Santon,BSP,
KEADBY & GRIMSBY WEST,QUEENS ROAD T2,33.0,Not given for Yorkshire,11.5,Yy0,5.48,78.28,893.96,-17.15999984741211,5.71999979019165,40.0,40,Impedance,Yorkshire,Queens Road,Primary,"55.045560597871194, -1.455354713027681"
KEADBY & GRIMSBY WEST,QUEENS ROAD T1,33.0,Not given for Yorkshire,11.5,Yy0,5.46,77.98,893.96,-17.15999984741211,5.71999979019165,40.0,40,Impedance,Yorkshire,Queens Road,Primary,"55.045560597871194, -1.455354713027681"
KEADBY & GRIMSBY WEST,PASTURE ROAD SOUTH T2,33.0,Not given for Yorkshire,11.5,Yy0,4.0,75.0,500,-10.0,10.0,24.0,24,Impedance,Yorkshire,Pasture Road South,Primary,
KEADBY & GRIMSBY WEST,PASTURE ROAD SOUTH T1,33.0,Not given for Yorkshire,11.5,Yy0,11.52,80.56,617.75,-20.0,10.0,24.0,24,Impedance,Yorkshire,Pasture Road South,Primary,
KEADBY & GRIMSBY WEST,NORTH THORESBY T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,74.0,500,-10.0,10.0,24.0,NOT KNOWN,Impedance,Yorkshire,North Thoresby,Primary,
KEADBY & GRIMSBY WEST,NORMANBY T1,33.0,Not given for Yorkshire,11.0,Yy0,12.0,97.0,97,-12.0,7.0,12.0,12,Solid,Yorkshire,Normanby,Primary,"54.22785956053538, -0.8735855599747578"
KEADBY & GRIMSBY WEST,MOSS ROAD GT2,132.0,Not given for Yorkshire,33.0,Yd9,1.1,27.8,23.6,-20.0,10.0,45.0,45,Solid,Yorkshire,Moss Road,BSP,
KEADBY & GRIMSBY WEST,MOSS ROAD GT1,132.0,Not given for Yorkshire,33.0,Yd9,1.1,27.8,23.6,-20.0,10.0,45.0,45,Solid,Yorkshire,Moss Road,BSP,
KEADBY & GRIMSBY WEST,MARSDEN RD T2,33.0,Not given for Yorkshire,11.0,Yy0,4.0,77.1,500,-10.0,10.0,24.0,NOT KNOWN,Impedance,Yorkshire,Marsden Road,Primary,
KEADBY & GRIMSBY WEST,LOUTH T2,33.0,Not given for Yorkshire,11.0,Yy0,4.0,98.7,550,-15.0,5.0,23.0,NOT KNOWN,Impedance,Yorkshire,Louth,Primary,
KEADBY & GRIMSBY WEST,KEDDINGTON ROAD,33.0,Not given for Yorkshire,11.5,Yy0,3.9,76.8,76.8,-10.0,10.0,25.0,25,Solid,Yorkshire,Keddington Road,Primary,
KEADBY & GRIMSBY WEST,IMMINGHAM GT1,132.0,Not given for Yorkshire,33.0,Yd9,0.75,25.4,21.6,-20.0,10.0,90.0,90,Solid,Yorkshire,Immingham,BSP,
KEADBY & GRIMSBY WEST,HUMBERSTON T2,132.0,Not given for Yorkshire,33.0,Yd9,0.7,24.6,20.9,-20.0,10.0,90.0,90,Solid,Yorkshire,Humberston,BSP,
KEADBY & GRIMSBY WEST,HUMBER ROAD T2,33.0,Not given for Yorkshire,11.0,Yy0,4.0,79.4,550,-15.0,5.0,23.0,NOT KNOWN,Impedance,Yorkshire,Humber Road,Primary,
KEADBY & GRIMSBY WEST,HUMBER ROAD T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,77.0,550,-15.0,5.0,23.0,NOT KNOWN,Impedance,Yorkshire,Humber Road,Primary,
KEADBY & GRIMSBY WEST,GRIMSBY DOCKS T2,33.0,Not given for Yorkshire,6.6,Yy0,6.0,98.0,98,-15.0,5.0,18.75,NOT KNOWN,Solid,Yorkshire,Grimsby Docks,Primary,
KEADBY & GRIMSBY WEST,GREAT COATES T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,98.0,550,-15.0,5.0,23.0,11.5,Impedance,Yorkshire,Great Coates,Primary,
KEADBY & GRIMSBY WEST,FLIXBOROUGH T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,73.2,500,-10.0,10.0,24.0,NOT KNOWN,Impedance,Yorkshire,Flixborough,Primary,
KEADBY & GRIMSBY WEST,EPWORTH,33.0,Not given for Yorkshire,11.0,Yy0,4.0,76.0,500,-10.0,10.0,24.0,NOT KNOWN,Impedance,Yorkshire,Epworth,Primary,
KEADBY & GRIMSBY WEST,EASTFIELD ROAD T2,33.0,Not given for Yorkshire,11.0,Yy0,4.0,93.8,550,-15.0,5.0,23.0,NOT KNOWN,Impedance,Yorkshire,Eastfield Road,Primary,
KEADBY & GRIMSBY WEST,CORRINGHAM ROAD T2,33.0,Not given for Yorkshire,11.0,Yy0,4.0,98.0,550,-15.0,5.0,23.0,NOT KNOWN,Impedance,Yorkshire,Corringham Road,Primary,
KEADBY & GRIMSBY WEST,CONYARD ROAD T2,33.0,Not given for Yorkshire,11.0,Yy0,6.0,67.0,67,-15.0,5.0,18.75,9.375,Solid,Yorkshire,Conyard Road,Primary,
KEADBY & GRIMSBY WEST,CONYARD ROAD T1,33.0,Not given for Yorkshire,11.0,Yy0,6.0,67.0,67,-15.0,5.0,18.75,9.375,Solid,Yorkshire,Conyard Road,Primary,
KEADBY & GRIMSBY WEST,CONVAMORE ROAD T2,33.0,Not given for Yorkshire,11.0,Yy0,4.0,80.4,550,-15.0,5.0,23.0,11.5,Impedance,Yorkshire,Convamore Road,Primary,
KEADBY & GRIMSBY WEST,CAISTOR,33.0,Not given for Yorkshire,11.0,Yy0,4.0,70.8,70.8,-10.0,10.0,24.0,24,Solid,Yorkshire,Caistor,Primary,
KEADBY & GRIMSBY WEST,BOTTESFORD T2,33.0,Not given for Yorkshire,11.0,Yy0,6.0,67.0,67,-15.0,5.0,18.75,18.75,Solid,Yorkshire,Bottesford,Primary,
KEADBY & GRIMSBY WEST,BLYTON T2,132.0,Not given for Yorkshire,33.0,Yd9,0.9,24.4,20.8,-20.0,10.0,60.0,60,Solid,Yorkshire,Blyton,BSP,
KEADBY & GRIMSBY WEST,BINBROOK,33.0,Not given for Yorkshire,11.0,Yy0,12.0,103.2,570,-15.0,5.0,7.5,7.5,Impedance,Yorkshire,Binbrook,Primary,
KEADBY & GRIMSBY WEST,BELMONT COVERT,33.0,Not given for Yorkshire,11.0,Yy0,4.0,76.8,500,-10.0,10.0,24.0,NOT KNOWN,Impedance,Yorkshire,Belmont Covert,Primary,
KIRKSTALL,Kirkstall C 2/5 GT2,132.0,Not given for Yorkshire,33.0,Yd9,0.44,25.7,24.53,-20.0,10.0,90.0,90,Solid,Yorkshire,Kirkstall C 2/5,BSP,
KIRKSTALL,IVESON HOUSE T2,33.0,Not given for Yorkshire,11.0,Yy0,6.0,65.3,65.3,-15.0,5.0,18.75,18.75,Solid,Yorkshire,Iveson House,Primary,
KIRKSTALL,HEDLEY CHASE T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,94.3,550,-15.0,5.0,23.0,11.5,Impedance,Yorkshire,Hedley Chase,Primary,
KIRKSTALL,GILDERSOME T2,33.0,Not given for Yorkshire,11.0,Yy0,4.0,100.0,550,-15.0,5.0,23.0,NOT KNOWN,Impedance,Yorkshire,Gildersome,Primary,
KIRKSTALL,GILDERSOME T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,100.0,550,-15.0,5.0,23.0,NOT KNOWN,Impedance,Yorkshire,Gildersome,Primary,
KIRKSTALL,FARNLEY CRESCENT T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,71.0,500,-10.0,10.0,24.0,NOT KNOWN,Impedance,Yorkshire,Farnley Crescent,Primary,
KIRKSTALL,CLARENDON ROAD T2,33.0,Not given for Yorkshire,11.0,Yy0,4.0,98.4,550,-15.0,5.0,23.0,23,Impedance,Yorkshire,Clarendon Road,Primary,
KIRKSTALL,CLARENDON ROAD T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,98.7,550,-15.0,5.0,23.0,23,Impedance,Yorkshire,Clarendon Road,Primary,
KIRKSTALL,BRAMLEY T2,33.0,Not given for Yorkshire,11.0,Yy0,6.0,64.7,64.7,-15.0,5.0,18.75,18.75,Solid,Yorkshire,Bramley,Primary,
KIRKSTALL,BRAMLEY T1,33.0,Not given for Yorkshire,11.0,Yy0,6.0,64.4,64.4,-15.0,5.0,18.75,18.75,Solid,Yorkshire,Bramley,Primary,
KNAREBOROUGH,Wormald Green GT4 132kV,132.0,Wormald Green GT5,33.0,Yd1,1.4,34.97,Not given for Northeast,-12.0,6.0,60.0,60,Solid / Impedance,Northeast,Wormald Green 132/33kV,BSP,
KNAREBOROUGH,Harrogate GT2B,132.0,Harrogate GT2B,33.0,Yd11,5.44,25.5,Not given for Northeast,-20.004,10.0,90.0,90,Solid / Impedance,Northeast,Harrogate 132/33kV,BSP,
KNAREBOROUGH,Harrogate GT2A,132.0,Harrogate GT2A,11.0,Yd11,2.67,66.61,Not given for Northeast,-20.0,10.0,30.0,30,Solid / Impedance,Northeast,Harrogate 132/11kV,Primary,
KNAREBOROUGH,Wormald Green GT3,132.0,Wormald Green GT3,33.0,Yd1,1.33,35.81,Not given for Northeast,-12.0,6.0,60.0,60,Solid / Impedance,Northeast,Wormald Green 132/33kV,BSP,
KNAREBOROUGH,Starbeck T1,33.0,Starbeck,11.0,Yy6,3.68,83.93,Not given for Northeast,-15.0,4.5,18.75,18.75,Solid / Impedance,Northeast,Starbeck,Primary,
KNAREBOROUGH,Ripon T2,33.0,Ripon,11.0,Yy6,4.46,84.5,Not given for Northeast,-15.0,5.0,24.0,12,Solid / Impedance,Northeast,Ripon,Primary,
KNAREBOROUGH,Ripon T1,33.0,Ripon,11.0,Yy6,4.54,83.7,Not given for Northeast,-15.0,5.0,24.0,12,Solid / Impedance,Northeast,Ripon,Primary,
KNAREBOROUGH,Husthwaite T2,33.0,Husthwaite,11.0,Yy6,6.62,109.47,Not given for Northeast,-10.0,10.0,15.0,15,Solid / Impedance,Northeast,Husthwaite,Primary,
KNAREBOROUGH,Harrogate West T2,33.0,Harrogate West,11.0,YNyn6,3.68,84.87,Not given for Northeast,-17.2,5.7,30.0,NOT KNOWN,NER Impedance,Northeast,Harrogate West,Primary,
KNAREBOROUGH,Boroughbridge,33.0,Boroughbridge,11.0,Yy6,4.1,111.0,Not given for Northeast,-10.0,10.0,15.0,NOT KNOWN,Solid / Impedance,Northeast,Boroughbridge,Primary,
LACKENBY,Guisborough T2 T3,66.0,"Guisborough (T1,T2)",11.5,Dy11,4.78,99.5,Not given for Northeast,-15.0,6.0,24.0,0,Solid / Impedance,Northeast,Guisborough T1 T2,Primary,
LACKENBY,Guisborough T2 T3,66.0,Guisborough T3,11.0,Dy11,7.55,112.18,Not given for Northeast,-4.0,0.0,7.0,NOT KNOWN,Solid / Impedance,Northeast,Guisborough T3,Primary,
LACKENBY,Guisborough T1,66.0,"Guisborough (T1,T2)",11.5,Dy11,4.77,100.0,Not given for Northeast,-15.0,6.0,24.0,0,Solid / Impedance,Northeast,Guisborough T1 T2,Primary,
LACKENBY,Redcar T2,66.0,Redcar,11.5,Dy11,2.69,69.5,Not given for Northeast,-15.0,6.0,45.0,NOT KNOWN,Solid / Impedance,Northeast,Redcar,Primary,
LACKENBY,Redcar T1,66.0,Redcar,11.5,Dy11,2.74,69.7,Not given for Northeast,-15.0,6.0,45.0,NOT KNOWN,Solid / Impedance,Northeast,Redcar,Primary,
LACKENBY,Prissick T2,66.0,Prissick,11.5,Dy11,5.03,83.2,Not given for Northeast,-15.0,6.0,18.75,0,Solid / Impedance,Northeast,Prissick,Primary,
LACKENBY,Grangetown T2,66.0,Grangetown,11.5,Dy11,3.74,93.75,Not given for Northeast,-15.0,6.0,24.0,0,Solid / Impedance,Northeast,Grangetown,Primary,
NEEPSEND,STANNINGTON ROAD T2,33.0,Not given for Yorkshire,11.0,Yy0,4.0,74.5,550,-15.0,5.0,23.0,NOT KNOWN,Impedance,Yorkshire,Stannington Road,Primary,
NEEPSEND,RAWSON SPRING ROAD T2,33.0,Not given for Yorkshire,11.0,Yy0,4.0,81.0,550,-15.0,5.0,23.0,NOT KNOWN,Impedance,Yorkshire,Rawson Spring Road,Primary,
NEEPSEND,RAWSON SPRING ROAD T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,80.5,550,-15.0,5.0,23.0,NOT KNOWN,Impedance,Yorkshire,Rawson Spring Road,Primary,
NEEPSEND,PENISTONE ROAD T2,33.0,Not given for Yorkshire,11.0,Yy0,4.0,74.8,550,-15.0,5.0,23.0,NOT KNOWN,Impedance,Yorkshire,Penistone Road,Primary,
NEEPSEND,PENISTONE ROAD T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,77.3,550,-15.0,5.0,23.0,NOT KNOWN,Impedance,Yorkshire,Penistone Road,Primary,
NEEPSEND,CROOKESMOOR ROAD T2,33.0,Not given for Yorkshire,11.0,Yy0,4.0,74.4,550,-15.0,5.0,23.0,NOT KNOWN,Impedance,Yorkshire,Crookesmoor Road,Primary,
NEEPSEND,CLAYWHEELS LANE T2,33.0,Not given for Yorkshire,11.0,Yy0,4.0,100.0,500,-10.0,10.0,24.0,24,Impedance,Yorkshire,Claywheels Lane,Primary,
NEEPSEND,BLUE BOY STREET T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,73.3,500,-10.0,10.0,24.0,NOT KNOWN,Impedance,Yorkshire,Blue Boy Street,Primary,
NORTON,Urlay Nook T3,33.0,Urlay Nook,11.5,Yy6,4.75,83.3,Not given for Northeast,-10.0,10.0,24.0,NOT KNOWN,Solid / Impedance,Northeast,Urlay Nook,Primary,
NORTON,Urlay Nook T1,33.0,Urlay Nook,11.5,Yy6,4.6,83.3,Not given for Northeast,-15.0,5.0,24.0,12,Solid / Impedance,Northeast,Urlay Nook,Primary,
NORTON,Thirsk T1 33kV,33.0,Thirsk,11.5,Yy6,6.42,99.4,Not given for Northeast,-15.0,4.5,14.0,NOT KNOWN,Solid / Impedance,Northeast,Thirsk,Primary,
NORTON,Stokesley T2,33.0,Stokesley,11.5,Yy6,3.74,75.2,Not given for Northeast,-15.0,6.0,24.0,24,Solid / Impedance,Northeast,Stokesley,Primary,
NORTON,Stokesley T1,33.0,Stokesley,11.5,Yy6,3.56,75.1,Not given for Northeast,-15.0,6.0,24.0,24,Solid / Impedance,Northeast,Stokesley,Primary,
NORTON,Skeeby,132.0,Skeeby,33.0,Yd11,0.5,15.3,Not given for Northeast,-20.0,10.0,90.0,90,Solid / Impedance,Northeast,Skeeby,BSP,
NORTON,Norton GT2,132.0,Norton,11.0,Yd11,1.88,98.25,Not given for Northeast,-20.0,10.0,40.0,40,Solid / Impedance,Northeast,Norton 132/11kV,Primary,
NORTON,North Tees T2,66.0,"North Tees (T1,T2)",11.5,Dx11,2.06,61.95,Not given for Northeast,-17.16,5.72,30.0,30,Solid / Impedance,Northeast,North Tees,Primary,
NORTON,North Tees T1,66.0,"North Tees (T1,T2)",11.5,Dx11,2.05,62.03,Not given for Northeast,-17.2,5.7,30.0,30,Solid / Impedance,Northeast,North Tees,Primary,
NORTON,North Tees GT2,132.0,North Tees GT2,66.0,Yy0,0.24,8.07,Not given for Northeast,-20.0,10.0,150.0,150,Solid / Impedance,Northeast,North Tees,BSP,
NORTON,North Tees GT1,132.0,North Tees GT1,66.0,Yy0,0.24,8.05,Not given for Northeast,-20.0,10.0,150.0,150,Solid / Impedance,Northeast,North Tees,BSP,
NORTON,Malleable T2,66.0,Malleable,11.5,Dy11,4.23,78.0,Not given for Northeast,-15.0,6.0,32.0,NOT KNOWN,Solid / Impedance,Northeast,Malleable,Primary,
NORTON,Malleable T1,66.0,Malleable,11.5,Dy11,4.26,78.0,Not given for Northeast,-15.0,6.0,32.0,NOT KNOWN,Solid / Impedance,Northeast,Malleable,Primary,
NORTON,Leeming Bar GT1,132.0,Leeming Bar GT1,33.0,Yd1,0.5,17.52,Not given for Northeast,-20.0,10.0,90.0,90,Solid / Impedance,Northeast,Leeming Bar,BSP,
NORTON,Faraday Street T1,66.0,Faraday Street,11.5,Dy11,4.53,82.53,Not given for Northeast,-15.0,6.0,18.75,18.75,Solid / Impedance,Northeast,Faraday Street,Primary,
NORTON,Darlington West T2,33.0,Darlington West,11.5,Yy6,3.97,83.4,Not given for Northeast,-15.0,4.5,18.75,18.75,Solid / Impedance,Northeast,Darlington West,Primary,
NORTON,Darlington T2,33.0,Darlington,11.5,Yy6,3.47,83.2,Not given for Northeast,-15.0,4.5,18.75,18.75,Solid / Impedance,Northeast,Darlington 33/11kV,Primary,
NORTON,Darlington North GT2,132.0,Darlington North GT2,33.0,Yd1,0.73,26.66,Not given for Northeast,-20.0,10.0,90.0,90,Solid / Impedance,Northeast,Darlington North,BSP,
NORTON,Darlington Central T1,33.0,Darlington Central,11.5,Yy6,2.78,76.56,Not given for Northeast,-15.0,6.0,32.0,32,Solid / Impedance,Northeast,Darlington Central,Primary,
NORTON,Darlington Central GT2,132.0,Darlington Central GT2,33.0,Yd1,1.63,25.62,Not given for Northeast,-20.0,10.0,60.0,60,Solid / Impedance,Northeast,Darlington Central,BSP,
NORTON,Cowton,33.0,Cowton,11.5,Yy6,13.2,132.7,Not given for Northeast,-10.0,10.0,7.5,7.5,Solid / Impedance,Northeast,Cowton,Primary,
NORTON,Bowesfield T2,33.0,Bowesfield 66,11.5,Yy6,7.88,78.99,Not given for Northeast,-15.0,6.0,32.0,NOT KNOWN,Solid / Impedance,Northeast,Bowesfield,Primary,
NORTON,Bowesfield T1,66.0,Bowesfield 66,11.5,Dy11,7.88,78.99,Not given for Northeast,-15.0,6.0,32.0,32,Solid / Impedance,Northeast,Bowesfield,Primary,
NORTON,Billingham Marsh House T2,66.0,Billingham Marsh House,11.5,Dy11,4.74,97.5,Not given for Northeast,-15.0,6.0,24.0,12,Solid / Impedance,Northeast,Billingham Marsh House,Primary,
NORTON,Billingham Marsh House T1,66.0,Billingham Marsh House,11.5,Dy11,4.8,98.3,Not given for Northeast,-15.0,6.0,24.0,12,Solid / Impedance,Northeast,Billingham Marsh House,Primary,
NORTON,Aycliffe Industrial T2,33.0,Aycliffe Industrial,11.5,Yy6,4.25,83.3,Not given for Northeast,-10.0,10.0,24.0,NOT KNOWN,Solid / Impedance,Northeast,Aycliffe Industrial,Primary,
NORTON,Aycliffe Industrial T1,33.0,Aycliffe Industrial,11.5,Yy6,4.66,72.4,Not given for Northeast,-10.0,10.0,24.0,NOT KNOWN,Solid / Impedance,Northeast,Aycliffe Industrial,Primary,
NORTON,Aycliffe Forrest T2,33.0,Aycliffe Forrest 11kV (Est,11.5,Yy6,3.35,83.93,Not given for Northeast,-10.0,10.0,30.0,NOT KNOWN,Solid / Impedance,Northeast,Aycliffe Forrest,Primary,
NORTON LEES,SNAITHING PARK ROAD T2,33.0,Not given for Yorkshire,11.0,Yy0,4.0,72.8,500,-10.0,10.0,24.0,NOT KNOWN,Impedance,Yorkshire,Snaithing Park Road,Primary,
NORTON LEES,SNAITHING PARK ROAD T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,74.0,500,-10.0,10.0,24.0,NOT KNOWN,Impedance,Yorkshire,Snaithing Park Road,Primary,
NORTON LEES,SAXON ROAD T2,33.0,Not given for Yorkshire,11.0,Yy0,4.0,72.1,500,-10.0,10.0,24.0,NOT KNOWN,Impedance,Yorkshire,Saxon Road,Primary,
NORTON LEES,SAXON ROAD T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,72.1,500,-10.0,10.0,24.0,NOT KNOWN,Impedance,Yorkshire,Saxon Road,Primary,
NORTON LEES,NORFOLK PARK T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,72.8,500,-10.0,10.0,24.0,NOT KNOWN,Impedance,Yorkshire,Norfolk Park,Primary,
NORTON LEES,MARMION ROAD T2,33.0,Not given for Yorkshire,11.0,Yy0,4.0,72.3,500,-10.0,10.0,24.0,NOT KNOWN,Impedance,Yorkshire,Marmion Road,Primary,
NORTON LEES,GLEADLESS VALLEY T2,33.0,Not given for Yorkshire,11.0,Yy0,4.0,71.6,500,-10.0,10.0,24.0,NOT KNOWN,Impedance,Yorkshire,Gleadless Valley,Primary,
OSBALDWICK,Whitby West T2,66.0,Whitby West,11.5,Dy11,8.36,102.5,Not given for Northeast,-15.0,6.0,24.0,24,Solid / Impedance,Northeast,Whitby West T2,Primary,
OSBALDWICK,Whitby T1,33.0,Whitby,11.5,Yy6,4.18,78.42,Not given for Northeast,-21.0,6.0,24.0,24,Solid / Impedance,Northeast,Whitby T1,Primary,
OSBALDWICK,York University T2,33.0,York University,11.5,Dy11,4.23,80.47,Not given for Northeast,-10.0,10.0,24.0,24,Solid / Impedance,Northeast,York University,Primary,
OSBALDWICK,Thornton Dale T1,66.0,Thornton Dale,11.5,Dy11,4.65,83.3,Not given for Northeast,-15.0,6.0,24.0,NOT KNOWN,Solid / Impedance,Northeast,Thornton Dale,Primary,
OSBALDWICK,Skeldergate T2,33.0,Skeldergate,11.5,Dy11,2.73,62.8,Not given for Northeast,-10.0,10.0,32.0,NOT KNOWN,Solid / Impedance,Northeast,Skeldergate,Primary,
OSBALDWICK,Sheriff Hutton T1,66.0,Sheriff Hutton,11.5,Yd11,4.76,83.0,Not given for Northeast,-15.0,6.0,18.75,18.75,Solid / Impedance,Northeast,Sheriff Hutton,Primary,
OSBALDWICK,Severus Hill T2,33.0,Severus Hill,11.5,Dy11,4.7,77.0,Not given for Northeast,-10.0,10.0,24.0,NOT KNOWN,Solid / Impedance,Northeast,Severus Hill,Primary,
OSBALDWICK,Scarborough Grid GT2,132.0,Scarborough Grid GT2,33.0,Yd1,1.01,10.41,Not given for Northeast,-20.0,10.0,120.0,120,Solid / Impedance,Northeast,Scarborough Grid,BSP,
OSBALDWICK,Scarborough Grid GT1,132.0,Scarborough Grid GT1,33.0,Yd1,0.99,10.38,Not given for Northeast,-20.0,10.0,120.0,120,Solid / Impedance,Northeast,Scarborough Grid,BSP,
OSBALDWICK,Rawcliffe Lane T2,33.0,Rawcliffe Lane,11.5,Dy11,4.37,67.87,Not given for Northeast,-15.0,4.5,18.75,18.75,Solid / Impedance,Northeast,Rawcliffe Lane,Primary,
OSBALDWICK,North Street T1,33.0,North Street,11.5,Yy6,4.77,83.3,Not given for Northeast,-10.0,10.0,24.0,NOT KNOWN,Solid / Impedance,Northeast,North Street,Primary,
PITSMOOR,STANLEY STREET T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,73.7,500,-10.0,10.0,24.0,NOT KNOWN,Impedance,Yorkshire,Stanley Street,Primary,
PITSMOOR,BELLHOUSE RD T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,78.2,550,-15.0,5.0,23.0,NOT KNOWN,Impedance,Yorkshire,Bellhouse Road,Primary,
SALTEND NORTH,WESTCOTT STREET T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,103.0,550,-15.0,5.0,23.0,NOT KNOWN,Impedance,Yorkshire,Westcott Street,Primary,
SALTEND NORTH,HEDON ROAD T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,100.0,550,-15.0,5.0,23.0,11.5,Impedance,Yorkshire,Hedon Road,Primary,
SALTEND NORTH,EASINGTON T2,33.0,Not given for Yorkshire,11.0,Yy0,4.0,80.0,500,-30.0,10.0,24.0,24,Impedance,Yorkshire,Easington,Primary,
SALTEND NORTH,EASINGTON T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,80.0,500,-30.0,10.0,24.0,24,Impedance,Yorkshire,Easington,Primary,
SALTHOLME,North Bank GT1,132.0,North Bank GT1,11.0,Yd11,5.25,94.1,Not given for Northeast,-20.0,10.0,60.0,NOT KNOWN,Solid / Impedance,Northeast,North Bank,Primary,
SHEFFIELD CITY,MANSFIELD ROAD T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,73.0,500,-10.0,10.0,24.0,NOT KNOWN,Impedance,Yorkshire,Mansfield Road 1,Primary,
SHEFFIELD CITY,ELLIN STREET T3,33.0,Not given for Yorkshire,11.0,Yy0,4.0,72.0,500,-10.0,10.0,24.0,NOT KNOWN,Impedance,Yorkshire,Ellin Street 1/3,Primary,
SHEFFIELD CITY,ELLIN STREET T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,72.0,500,-10.0,10.0,24.0,NOT KNOWN,Impedance,Yorkshire,Ellin Street 1/3,Primary,
SHEFFIELD CITY,VICTORIA STREET T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,70.8,500,-10.0,10.0,24.0,NOT KNOWN,Impedance,Yorkshire,Victoria Street,Primary,
SHEFFIELD CITY,ARUNDEL STREET T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,73.0,500,-10.0,10.0,24.0,NOT KNOWN,Impedance,Yorkshire,Arundel Street,Primary,
SKELTON GRANGE,YORK ROAD T2,33.0,Not given for Yorkshire,11.0,Yy0,6.0,67.4,64.7,-15.0,5.0,18.75,18.75,Solid,Yorkshire,York Road,Primary,"54.00733447935503, -1.4400731742662989"
SKELTON GRANGE,YEW GREEN ROAD T2,33.0,Not given for Yorkshire,11.0,Yy0,4.0,71.0,500,-10.0,10.0,24.0,NOT KNOWN,Impedance,Yorkshire,Yew Green Road,Primary,
SKELTON GRANGE,YEW GREEN ROAD T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,71.0,500,-10.0,10.0,24.0,NOT KNOWN,Impedance,Yorkshire,Yew Green Road,Primary,
SKELTON GRANGE,WIBSEY T1,33.0,Not given for Yorkshire,11.0,Yy0,6.0,72.7,72.7,-15.0,5.0,18.75,NOT KNOWN,Solid,Yorkshire,Wibsey,Primary,
SKELTON GRANGE,VARLEY STREET T2,33.0,Not given for Yorkshire,11.0,Yy0,6.0,64.7,64.7,-15.0,5.0,18.75,18.75,Solid,Yorkshire,Varley Street,Primary,
SKELTON GRANGE,TONG STREET T2,33.0,Not given for Yorkshire,11.0,Yy0,6.0,65.3,65.3,-15.0,5.0,18.75,NOT KNOWN,Solid,Yorkshire,Tong Street,Primary,
SKELTON GRANGE,TONG STREET T1,33.0,Not given for Yorkshire,11.0,Yy0,6.0,65.3,65.3,-15.0,5.0,18.75,NOT KNOWN,Solid,Yorkshire,Tong Street,Primary,
SKELTON GRANGE,SWINNOW MOOR T2,33.0,Not given for Yorkshire,11.0,Yy0,6.0,64.7,64.7,-15.0,5.0,18.75,NOT KNOWN,Solid,Yorkshire,Swinnow Moor,Primary,
SKELTON GRANGE,SWEET STREET T2,33.0,Not given for Yorkshire,11.5,Yy0,2.12,88.43,564.63,-10.0,10.0,30.0,30,Impedance,Yorkshire,Sweet Street,Primary,
SKELTON GRANGE,SPRING MILL STREET T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,78.2,550,-15.0,5.0,23.0,11.5,Impedance,Yorkshire,Spring Mill Street,Primary,
