GSP,S/S or Busbar Name Node 1,S/S or Busbar Name Node 2,Operating Voltage (kV),Positive Sequence Impedance R % on (100 MVA Base),Positive Sequence Impedance X (% on 100 MVA Base),Susceptance B (% on 100 MVA Base),Rating Information (MVA),Circuit Length (km),Licence Area
Skelton Grange,OSGOD-SIXPW-THORP-TEE,THORPE ROAD T2,33.0,0.325938821,0.4240776,0.0,25.435166109148962,0.3909812927,Yorkshire
Drax,RICCALL,WHITEMOOR,33.0,4.331,10.166,0.011,28.578838324886473,3.144294678,Yorkshire
Keadby,STATION ROAD HOWDEN,THORPE ROAD T1,33.0,2.341,44.02,0.086989,29,2.023,Yorkshire
Creyke Beck,WHITEMOOR,NORTH SELBY,33.0,15.16399956,35.35699844,0.028000001,28.578838324886473,10.374752930000001,Yorkshire
Drax,WHITEMOOR,OSGODBY GT1,33.0,6.093999863,14.38899994,0.015,28.578838324886473,4.606248047,Yorkshire
Elland,BAILIFF BRIDGE T2,BABR-BRIG-SNEL-TEE,33.0,1.415,2.758,0.0,21.09118268376622,1.186599976,Yorkshire
Elland,BRIGHOUSE GT1,ELLAND SGT2,132.0,0.195,0.692,1.548,222.9149389341145,3.637320557,Yorkshire
Elland,BRIGHOUSE GT2,ELLAND SGT4,132.0,0.194,0.682,1.158,222.9149389341145,4.02719751,Yorkshire
Elland,BRIGHOUSE T1,BRIGHOUSE GT1,33.0,0.0,0.0,0.0,23.09170136650827,0.07457157898,Yorkshire
Elland,DEIGHTON T2,BRIGHOUSE GT2,33.0,5.441,5.174,0.0,26.464004288844876,5.289100098,Yorkshire
Elland,ELLAND SGT1,THORNHILL T1,132.0,1.589,3.527,0.8,114.54398400614498,15.861,Yorkshire
Elland,ELLAND SGT2,LINDLEY T1,132.0,0.194,0.7,3.432,179.93236609348523,4.086223145,Yorkshire
Elland,GROVE STREET T2,LINDLEY T2,33.0,3.386,2.64,0.0,26.292531258895558,3.6239997560000003,Yorkshire
Elland,HEBB-SOWB-TODM-TEE,SOWERBY BRIDGE GT2,33.0,11.607,23.169,0.0,23.14885904315804,7.657699707,Yorkshire
Elland,HEBDEN BRIDGE T1,HEBB-SOWB-TODM-TEE,33.0,2.537,6.84,0.0,28.578838324886473,2.000599976,Yorkshire
Elland,HONLEY T2,DOWS-HONL-THOR-TEE,33.0,2.588,5.979,0.005,15.775518755337332,1.544355225,Yorkshire
Elland,HONL-LIND-MELT-TEE,LINDLEY T1,33.0,12.876,16.679,0.0,21.719917126913717,12.41307715,Yorkshire
Elland,LIND-MELT-SLAT-TEE,LINDLEY T2,33.0,8.295000076,14.73200035,0.0,22.29149389341145,6.256257813,Yorkshire
Skelton Grange,LIVERSEDGE T1,SPENBOROUGH T1,33.0,2.979,2.541,0.0,16.690041581733702,2.730500244,Yorkshire
Elland,MILLROYD STREET T1,BRIGHOUSE GT1,33.0,1.439,1.198,0.0,19.719398444171667,0.9069511719,Yorkshire
Elland,MYTH-SOWB-TODM-TEE,SOWERBY BRIDGE GT1,33.0,7.486,15.526,0.045,30.293568624379663,4.983657227,Yorkshire
Elland,OAKES ROAD T1,LINDLEY T1,33.0,0.273,0.229,0.0,25.149377725900095,0.4345012512,Yorkshire
Elland,PARK ROAD T2,THORNHILL T2,33.0,2.395,2.275,0.0,21.09118268376622,2.4378999020000003,Yorkshire
Elland,PROSPECT ROAD T1,LINDLEY T1,33.0,1.539999962,1.023000002,0.0,24.577800959402367,0.8634421996999999,Yorkshire
Elland,SALTERHEBBLE T1,SOWERBY BRIDGE GT1,33.0,7.125,13.804,0.013,15.775518755337332,4.740488281,Yorkshire
Elland,SNELSINS LANE T2,BABR-BRIG-SNEL-TEE,33.0,4.847000122,8.088000298,0.0,31.436722157375122,3.5079616700000003,Yorkshire
Elland,SOWERBY BRIDGE GT2,SOWERBY BRIDGE T4,33.0,0.018,0.041,0.0,44.297199403574034,0.04023199844,Yorkshire
Elland,SPENBOROUGH T2,BRIGHOUSE GT2,33.0,9.666,18.838,0.0,19.033506324374393,6.093666992,Yorkshire
Elland,TODMORDEN T2,HEBB-SOWB-TODM-TEE,33.0,8.32,16.687,0.0,15.775518755337332,5.4365,Yorkshire
Camblesforth,BARLOW COMMON ROAD,CAMBLESFORTH SGT4,66.0,1.507,3.377,0.061,46.29771808631608,3.7510002439999997,Yorkshire
Camblesforth,CAMBLESFORTH SGT3,RUSHOLME WINDFARM,66.0,0.781889975,1.332270503,1.135706067,66.87448168023434,4.368099609,Yorkshire
Camblesforth,DRAX T1,CAMBLESFORTH SGT3,66.0,0.022,0.054,0.061,84.59336144166396,0.198,Yorkshire
Camblesforth,EGGBOROUGH-RAWCLIFFE-TEE,RAWCLIFFE T1,66.0,4.956060886,11.78155422,0.025626501,57.27199200307249,13.657,Yorkshire
Ferrybridge A,FERRYA-HUTGREEN-TEE,EGGBOROUGH-RAWCLIFFE-TEE,66.0,0.514,1.125,0.212,57.27199200307249,1.826,Yorkshire
Ferrybridge A,FERRYBRIDGE A,SOUTH KIRBY T2,66.0,5.19316721,12.05174732,0.361123621,53.72821605078657,15.19941504,Yorkshire
Ferrybridge A,FERRYBRIDGE A,LEDSTON T2,66.0,6.155,14.611,0.969,57.27199200307249,17.708,Yorkshire
Ferrybridge A,FERRYBRIDGE A,SOUTH ELMSALL T1,66.0,8.96,20.34,0.0,52.127801104592926,15.64122656,Yorkshire
Camblesforth,GUAR-TWIN-TEE,GOOLE FIELDS 2 WINDFARM,66.0,0.063,0.153,0.173571,85,0.564,Yorkshire
Camblesforth,GOOLE T1,GUARDIAN GLASS T1,66.0,0.167255998,0.467225999,0.621937811,94.88174323862309,1.818,Yorkshire
Ferrybridge A,SOUTH KIRBY T1,GRIMETHORPE T2,66.0,2.446971893,5.43191576,1.200121641,46.29771808631608,6.77,Yorkshire
Ferrybridge B,AUDL-BRAM-TADC-TEE,BRAMHAM T2,33.0,2.384,4.517,0.0,28.635996001536245,1.938,Yorkshire
Ferrybridge B,BARWICK T1,SLEDMERE GARTH T1,33.0,1.448,1.468,0.491,25.149377725900095,1.783141602,Yorkshire
Ferrybridge B,BARWICK T2,WHINMOOR T2,33.0,3.671,8.041,0.301,25.149377725900095,2.4617678219999997,Yorkshire
Ferrybridge B,BRAMHAM T1,FERRYBRIDGE B,132.0,0.859,4.728,1.52,180,21.424,Yorkshire
Ferrybridge B,BRAMHAM T2,BARWICK T2,33.0,14.069,33.433,0.101,28.86462670813534,10.21317969,Yorkshire
Ferrybridge B,BRAMHAM T2,WHINMOOR T1,132.0,0.415,2.271,12.454,180,11.094,Yorkshire
Ferrybridge B,CARR LANE T1,FEATHERSTONE T2,33.0,5.835,7.426,0.0,30.86514539087739,6.52,Yorkshire
